segment_id,point_id,event,spray_on,u,v,x,y,z,note
10,17,SURFACE_SCAN,1,-67.8480632908,-18.0250288559,-31.1662761671,4.36020320633,-14.9696965042,central bow scan
10,18,SURFACE_SCAN,1,-63.6814515574,-11.9451228315,-31.5699802668,3.77328725321,-22.0703516357,central bow scan
10,19,SURFACE_SCAN,1,-59.5148398239,-5.86521680715,-31.9256178718,3.17622050649,-29.1227227019,central bow scan
10,20,SURFACE_SCAN,1,-55.3482280905,0.214689217242,-32.2347696629,2.54209409835,-36.0883761167,central bow scan
10,21,SURFACE_SCAN,1,-51.1816163571,6.29459524163,-32.5276414194,1.90191746225,-42.9907467261,central bow scan
10,22,SURFACE_SCAN,1,-47.0150046236,12.374501266,-32.8355806081,1.2928907992,-49.7558185915,central bow scan
10,23,SURFACE_SCAN,1,-42.8483928902,18.4544072904,-33.1655866222,0.508920579622,-56.1610666702,central bow scan
10,24,SURFACE_SCAN,1,-38.6817811568,24.5343133148,-33.508687199,-0.378862006875,-62.3527935441,central bow scan
10,25,SURFACE_SCAN,1,-34.5151694234,30.6142193392,-33.8541101016,-1.27453133419,-68.5674333086,central bow scan
10,26,SURFACE_SCAN,1,-30.3485576899,36.6941253636,-35.4252998116,-1.6604185495,-74.1295824535,central bow scan
10,27,SURFACE_SCAN,1,-26.1819459565,42.774031388,-41,-0.855126338246,-74.28471,central bow scan
11,0,OVERTRAVEL,0,,,-41,-0.855126338246,-74.28471,3D-only opening connector
11,1,OVERTRAVEL,0,,,-100.361105432,7.71987038625,-75.9365553606,3D-only opening connector
11,2,OVERTRAVEL,0,,,-59.064862796,48.4265986538,-105.454516335,3D-only opening connector
11,3,OVERTRAVEL,0,,,-16.3990490569,20,-74.28471,3D-only opening connector
12,0,SURFACE_SCAN,1,-9.89859645514,13.5344444722,-16.3990490569,20,-74.28471,central bow scan
12,1,SURFACE_SCAN,1,-14.0145924362,7.52839678585,-11.8742321503,16.9852876832,-70.9790736059,central bow scan
12,2,SURFACE_SCAN,1,-18.1305884172,1.52234909951,-11.0395952222,17.8601721149,-63.3913887708,central bow scan
12,3,SURFACE_SCAN,1,-22.2465843983,-4.48369858683,-10.2099331066,18.5574428029,-55.854850151,central bow scan
12,4,SURFACE_SCAN,1,-26.3625803793,-10.4897462732,-9.42868132045,19.1167092113,-48.3870712283,central bow scan
12,5,SURFACE_SCAN,1,-30.4785763603,-16.4957939595,-8.67312838572,19.4476818144,-40.9600218236,central bow scan
12,6,SURFACE_SCAN,1,-34.5945723414,-22.5018416459,-7.9567080155,19.6160228208,-33.6365193878,central bow scan
12,7,SURFACE_SCAN,1,-38.7105683224,-28.5078893322,-7.23920959134,19.5974006293,-26.337840714,central bow scan
12,8,SURFACE_SCAN,1,-42.8265643034,-34.5139370185,-6.51279257763,19.4775360417,-19.0798785307,central bow scan
12,9,SURFACE_SCAN,1,-46.9425602845,-40.5199847049,-5.7714233457,19.3725047637,-11.8475609348,central bow scan
12,10,SURFACE_SCAN,1,-51.0585562655,-46.5260323912,-5.01031962865,19.2947393714,-4.62562244226,central bow scan
12,11,SURFACE_SCAN,1,-55.1745522465,-52.5320800776,-4.23357337882,19.0450484223,2.57568610985,central bow scan
12,12,SURFACE_SCAN,1,-59.2905482276,-58.5381277639,-3.44934230373,18.6590080931,9.76823628339,central bow scan
12,13,SURFACE_SCAN,1,-63.4065442086,-64.5441754502,-2.64961292553,18.2346835087,16.9432674746,central bow scan
12,14,SURFACE_SCAN,1,-67.5225401896,-70.5502231366,-1.87451540053,17.7557916085,24.1306616229,central bow scan
12,15,SURFACE_SCAN,1,-71.6385361707,-76.5562708229,-1.05531663342,17.4786950944,31.3269470729,central bow scan
12,16,SURFACE_SCAN,1,-75.7545321517,-82.5623185093,-0.313652064334,17.06707913,38.5693378037,central bow scan
12,17,SURFACE_SCAN,1,-79.8705281328,-88.5683661956,0.413733791484,16.6357636132,45.820880836,central bow scan
12,18,SURFACE_SCAN,1,-83.9865241138,-94.574413882,1.11993523107,16.1693196549,53.0780381297,central bow scan
12,19,SURFACE_SCAN,1,-88.1025200948,-100.580461568,1.63086246863,15.6260346795,60.4092714721,central bow scan
12,20,SURFACE_SCAN,1,-92.2185160759,-106.586509255,2.12061500167,15.109019938,67.7564921973,central bow scan
12,21,SURFACE_SCAN,1,-96.3345120569,-112.592556941,2.63563744336,14.6377206139,75.1077673896,central bow scan
12,22,SURFACE_SCAN,1,-100.450508038,-118.598604627,3.15077529997,14.1629490638,82.4602206823,central bow scan
12,23,SURFACE_SCAN,1,-104.566504019,-124.604652314,3.67326864999,13.4668895319,89.8877553411,central bow scan
12,24,SURFACE_SCAN,1,-108.6825,-130.6107,4.195762,12.77083,97.31529,central bow scan
