global_point_id,trajectory_id,trajectory_type,point_id,surface_x,surface_y,surface_z,surface_u,surface_v,normal_x,normal_y,normal_z,nozzle_x,nozzle_y,nozzle_z,spray_dir_x,spray_dir_y,spray_dir_z,qx,qy,qz,qw,speed,cumulative_time,spray_on
51,26,transition,1,0.06020584504661256,-0.0013160327771885322,-0.2841684037715084,-0.069696730748,0.024122286434,0.08183243588035906,0.42711655850602515,0.9004859232036091,0.14203828092697163,0.4258005257288366,0.6163175194321007,-0.08183243588035907,-0.42711655850602515,-0.9004859232036091,0.17618734144445072,0.9587496974270924,-0.2230564853860379,-0.0016860383814551077,50.0,0.15032982733731046,0
52,27,spray,0,0.06020584504661256,-0.0013160327771885322,-0.2841684037715084,-0.069696730748,0.024122286434,0.08183243588035906,0.42711655850602515,0.9004859232036091,0.14203828092697163,0.4258005257288366,0.6163175194321007,-0.08183243588035907,-0.42711655850602515,-0.9004859232036091,-0.7806615317782728,0.5837898032711819,-0.0975870721567658,-0.20058365273886516,50.0,0.15032982733731046,1
53,27,spray,1,-0.09870460681658284,-0.025279345267185324,-0.266517765052975,0.09585161118099998,-0.006631868568,0.31956650976738393,0.17644762760462687,0.930990591009271,0.2208619029508011,0.15116828233744156,0.664472825956296,-0.31956650976738393,-0.1764476276046269,-0.930990591009271,-0.7714680331778336,0.6085493975753822,0.07206573140504725,-0.17120524189527658,50.0,0.15612482400842548,1
54,28,transition,0,-0.09870460681658284,-0.025279345267185324,-0.26651776505297486,0.095851611181,-0.006631868568,0.31956650976738393,0.17644762760462687,0.930990591009271,0.2208619029508011,0.15116828233744156,0.6644728259562961,-0.31956650976738393,-0.1764476276046269,-0.930990591009271,0.30491060073168574,0.9340903709310348,-0.13581487533242417,-0.12672420500363246,50.0,0.15612482400842548,0
55,28,transition,1,-0.0986595067087375,-0.02596414472487856,-0.2663708283743744,0.095798019254,-0.008759451601,0.27568278258802265,0.21034954426758617,0.937950996913455,0.17702327587928515,0.1843853995427076,0.6715801685390805,-0.27568278258802265,-0.21034954426758617,-0.937950996913455,0.3009610692279292,0.9372288585323806,-0.14454206980892392,-0.10065829125623349,50.0,0.15723400684592936,0
56,29,spray,0,-0.0986595067087375,-0.02596414472487856,-0.2663708283743744,0.095798019254,-0.008759451601,0.27568278258802265,0.21034954426758617,0.937950996913455,0.17702327587928515,0.1843853995427076,0.6715801685390805,-0.27568278258802265,-0.21034954426758617,-0.937950996913455,0.5540193455417973,0.8136572148160218,-0.1671280747702031,-0.055612122481325535,50.0,0.15723400684592936,1
57,29,spray,1,0.07169853551749315,-0.004582718917415332,-0.28410435652865523,-0.080939579398,0.024073347810999998,0.03230010987753829,0.3604874987691812,0.9322046267494271,0.10399864539503145,0.35590477985176583,0.6481002702207719,-0.0323001098775383,-0.3604874987691812,-0.9322046267494271,0.5392767960305662,0.8217559556448134,-0.16232827748835846,0.08687471987263604,50.0,0.16099181472308344,1
58,30,transition,0,0.07169853551749313,-0.004582718917415331,-0.2841043565286553,-0.080939579398,0.024073347811,0.03230010987753829,0.3604874987691812,0.9322046267494271,0.10399864539503142,0.35590477985176583,0.6481002702207718,-0.0323001098775383,-0.3604874987691812,-0.9322046267494271,-0.22590226965463217,0.9565931621852624,-0.17469330296154517,-0.058137221516617786,50.0,0.16099181472308344,0
59,30,transition,1,0.08307060797075239,-0.005812273549519844,-0.28266764611993245,-0.092182428048,0.024024409187,-0.026237130756219626,0.33967714614231875,0.9401760735938194,0.05683347721453276,0.3338648725927989,0.6575084274738869,0.026237130756219626,-0.33967714614231875,-0.9401760735938194,-0.23148122522104694,0.9573424043502264,-0.17073746216798022,-0.02758046800777352,50.0,0.1620498929856667,0
60,31,spray,0,0.08307060797075239,-0.005812273549519844,-0.28266764611993245,-0.092182428048,0.024024409187,-0.026237130756219626,0.33967714614231875,0.9401760735938194,0.05683347721453276,0.3338648725927989,0.6575084274738869,0.026237130756219626,-0.33967714614231875,-0.9401760735938194,-0.949159476580372,0.2630291330149264,-0.05888548369670335,-0.16261753599441728,50.0,0.1620498929856667,1
