trajectory_index,u,v,x,y,z
118,-121.91257174230907,-54.67214294110779,-83.05829287977416,806.7000528404234,55.7229016543487
119,-123.02774838033675,-53.26164578642076,-81.95194505769614,845.3165856504095,57.79273177696201
120,-124.14292501836442,-51.85114863173371,-80.59317420952004,862.947104930186,60.33481192134299
121,-125.25810165639211,-50.44065147704667,-82.24514949137475,703.0175904336709,57.244185147411116
122,-126.37327829441979,-49.030154322359635,-81.63838560111165,701.5255543937196,58.37935995619931
123,-127.48845493244747,-47.619657167672585,-81.18881898143304,679.2505297994803,59.220439509087484
124,-128.60363157047516,-46.20916001298555,-81.02474728347761,601.2236825077861,59.26144364374764
125,-129.71880820850282,-44.7986628582985,-81.30912751908856,531.6053916442345,58.32774576589167
126,-130.8339848465305,-43.38816570361146,-81.41125824980334,465.3217236864696,58.00982253895131
127,-131.9491614845582,-41.97766854892441,-81.17567475809332,422.7181574331915,58.25178858554124
128,-133.06433812258587,-40.56717139423738,-80.5849096375482,380.53745082798446,58.7023172975125
129,-134.17951476061356,-39.15667423955034,-80.49422812920386,333.5953114747046,58.78938330568329
130,-135.29469139864125,-37.74617708486329,-79.9500799920115,309.0836830823863,59.45242998471004
131,-136.4098680366689,-36.335679930176255,-79.80920122427182,269.83364366429896,59.62409132600792
132,-137.5250446746966,-34.925182775489205,-79.47221181205532,236.8360779023584,60.0347142710578
133,-138.6402213127243,-33.51468562080217,-79.25390022753365,193.1785684609684,60.30072780894662
134,-139.75539795075196,-32.10418846611512,-79.14877945747024,144.44623708029297,60.42881788722364
135,-140.87057458877962,-30.693691311428083,-79.00219573960598,98.64304075040849,60.607430733039465
136,-141.98575122680734,-29.283194156741033,-78.74671551315151,63.85433434650028,60.91873440961117
137,-143.100927864835,-27.872697002054,-78.4646722472642,30.323255401033656,61.262405255850474
138,-143.39277058821122,-26.214997253282668,-77.81381104986575,25.355596453907907,62.05548222505433
139,-143.68461331158744,-24.557297504511332,-77.11173308512629,24.193568565410757,62.910967029872864
140,-143.97645603496366,-22.89959775574,-76.36919391600951,26.88776465455156,63.81575397386662
141,-144.26829875833988,-21.24189800696867,-75.58668896735279,29.749941830548593,64.76923937989204
142,-144.56014148171613,-19.584198258197333,-74.84040225011896,27.64624480226894,65.67859272623778
143,-144.85198420509235,-17.926498509426,-74.10649722892305,25.6785419120088,66.57285892649676
144,-145.14382692846857,-16.26879876065467,-73.44109276580741,20.729359388735354,67.38365692307693
145,-145.4356696518448,-14.611099011883335,-72.66194119612375,17.040263377110044,68.33305622342704
146,-145.727512375221,-12.953399263112,-71.94966286159153,13.169908088861803,69.22058208729987
147,-144.61776710175957,-14.35702672199882,-72.09686103102072,56.60682597511378,69.02160866208585
148,-143.50802182829815,-15.760654180885638,-72.30176579011722,96.08580645718143,68.7719313945375
149,-142.3982765548367,-17.164281639772454,-72.41702488329776,141.91792904809117,68.62883693871221
150,-141.28853128137527,-18.56790909865927,-72.53050072815505,189.1867296449725,68.49321695874818
151,-140.17878600791386,-19.97153655754609,-72.68222545971214,233.6027799805573,68.30833976720947
152,-139.06904073445241,-21.375164016432908,-72.8070012184134,279.1054875554419,68.15630000675603
153,-137.95929546099097,-22.77879147531973,-73.33933541894437,302.2129039520358,67.50764865674752
154,-136.84955018752956,-24.182418934206545,-73.69359422045366,338.86724853379616,67.07598289185361
155,-135.73980491406812,-25.586046393093362,-74.04934099782278,377.82672698438387,66.64250402243012
156,-134.6300596406067,-26.98967385198018,-74.20856090063272,424.43737775910586,66.44849393477676
157,-133.52031436714526,-28.393301310867,-74.92898135675824,441.4495092960191,65.57065873092658
158,-132.41056909368382,-29.796928769753816,-74.7194556444506,519.8795284322781,65.82596664842328
159,-131.3008238202224,-31.200556228640636,-75.53749225795173,534.5476191058154,64.82918576683679
160,-130.19107854676096,-32.60418368752745,-75.82122985368582,574.8497271776657,64.48345037291038
