vertex_index,x,y,z,geodesic_distance
342,-160.9426727,115.7599716,581.7166748,182.0360332
343,-157.4326172,113.3637695,628.2583618,181.9632751
344,-192.6911621,-126.0261688,162.8416901,183.393597
345,-195.3809052,-114.0178909,209.3833466,183.3004259
346,-197.3629303,-102.0740128,255.9250336,183.1841193
347,-198.650589,-90.23484802,302.4666443,183.0438144
348,-199.2594299,-78.53941345,349.0083008,182.881607
349,-199.2071686,-67.02548218,395.5500183,182.703406
350,-198.5138397,-55.72935867,442.0916443,182.5190395
351,-197.200943,-44.68589783,488.6333008,182.341187
352,-195.2921753,-33.92821503,535.1749878,182.1830459
353,-192.8128662,-23.48780632,581.7166748,182.0551914
354,-189.7900848,-13.39420605,628.2583008,181.9627439
355,-164.3536835,93.66163635,674.8000488,181.922147
356,-166.5101776,89.61054993,674.7999878,181.9237474
357,-166.5509949,89.53374481,674.8000488,181.9237756
358,-167.8696289,86.75146484,674.7999878,181.9247137
359,-168.4792175,85.46528625,674.7999878,181.9251159
360,-170.2812958,81.6628952,674.7999878,181.9261982
361,-170.4283752,81.3110199,674.7999878,181.9262855
362,-171.7057495,78.25556183,674.7999878,181.9269828
363,-172.1986237,77.07678986,674.7999878,181.927223
364,-173.6419373,73.62437439,674.7999878,181.9278412
365,-173.9319153,72.82844543,674.7999878,181.9279572
366,-175.1155701,69.5798111,674.7999878,181.9283543
367,-175.5029907,68.51625824,674.8000488,181.9284584
368,-176.6235809,65.44074249,674.7999878,181.9286887
369,-177.0159454,64.18487549,674.7999878,181.9287461
370,-178.0904541,60.7455368,674.7999878,181.9288093
371,-178.384552,59.80417252,674.7999878,181.9288036
372,-179.2216644,57.12470627,674.7999878,181.9287336
373,-179.673172,55.40108871,674.8000488,181.92864
374,-180.6232758,51.77441406,674.7999878,181.9283327
375,-180.836319,50.96137619,674.7999878,181.9282437
376,-181.4289703,48.69916916,674.7999878,181.9279574
377,-181.8972626,46.4980011,674.7999878,181.9276179
378,-182.7078247,42.68851852,674.7999878,181.9269007
379,-182.8523712,42.00890732,674.7999878,181.9267556
380,-183.2419586,40.17791367,674.7999878,181.926339
381,-183.6829987,37.49698639,674.7999878,181.9256543
382,-184.3388367,33.51008987,674.7999878,181.9244847
383,-184.427887,32.96831131,674.8000488,181.9243117
384,-184.6558075,31.58328056,674.7999878,181.9238544
385,-185.0259399,28.41949463,674.7999878,181.9227191
386,-185.5123596,24.26174355,674.7999878,181.921051
387,-185.5592194,23.86111069,674.7999878,181.9208796
388,-185.6680908,22.93092155,674.7999878,181.9204743
389,-185.9230347,19.28728867,674.7999878,181.9187774
390,-186.2254181,14.96613121,674.7999878,181.9165606
391,-186.2433929,14.70911598,674.8000488,181.9164215
392,-186.2761078,14.24145794,674.8000488,181.9161666
393,-186.3721466,10.12218094,674.7999878,181.9137888
394,-186.4764557,5.646110058,674.7999878,181.9109683
395,-186.4790039,5.534172535,674.7999878,181.9108945
396,-186.387207,0.9456878304,674.8000488,181.9077119
397,-186.3294373,-1.942783117,674.7999878,181.9055679
398,-186.2219849,-3.639459133,674.7999878,181.9042459
399,-186.2198029,-3.673105955,674.7999878,181.9042193
400,-185.9317169,-8.219837189,674.7999878,181.9004846
401,-196.1210175,-128.5339813,116.2999802,183.4353969
402,-189.2826233,-138.0576172,116.2999878,183.4663419
403,-189.196579,-138.1713104,77.53328705,183.4883542
404,-162.456955,97.2249527,674.7999878,181.9205787
405,-163.6164703,95.04666901,674.7999878,181.9215564
406,-162.174942,97.69994354,674.7999878,181.920349
407,-181.7975616,-147.4493103,38.76667023,183.5316679
408,-157.4490967,105.5671616,674.7999878,181.9161006
409,-158.010498,104.7146912,674.7999878,181.9166171
410,-158.9566803,103.1207733,674.8000488,181.9175203
411,-159.832077,101.6463318,674.7999878,181.918326
412,-173.9453888,-156.3469543,-3.691078746e-05,183.5669107
413,-173.9453888,167.4152679,-3.691078746e-05,183.0173914
414,-173.9453735,167.4152679,38.76664352,183.0116782
415,-173.9453583,167.4152679,77.5333252,182.9945828
416,-181.7058716,158.6268005,116.3000183,182.9706796
417,-181.7948456,158.5154266,116.2999878,182.9707393
418,-185.7241211,146.7850189,162.8416748,182.9279608
419,-182.3378448,144.2168732,209.3833466,182.8633222
420,-178.9515686,141.6486511,255.9250031,182.7827183
421,-175.5653381,139.0804291,302.4667053,182.6874203
422,-172.1790466,136.5122528,349.0083313,182.5797901
423,-168.7927704,133.9440613,395.5499878,182.4635119
424,-165.4065094,131.3758545,442.0916748,182.3436639
425,-162.0202332,128.8076324,488.6333313,182.2264982
426,-158.6339569,126.2394791,535.1749878,182.1188219
427,-155.2476959,123.6712646,581.7166748,182.0269868
428,-151.8614197,121.1030502,628.2583008,181.9556761
429,-152.3441467,113.1933899,674.7999878,181.911
430,-153.2185364,111.9914627,674.7999878,181.9118862
431,-153.9017944,110.9538956,674.7999878,181.9126047
432,-154.9249878,109.4001846,674.7999878,181.9136523
433,-185.89328,-135.4934692,162.8416748,183.4260163
434,-189.178299,-123.6341705,209.383316,183.3324272
435,-191.7531128,-111.8039474,255.9250031,183.2146569
436,-193.629303,-100.0436707,302.4666138,183.0713924
437,-194.820343,-88.39313507,349.0083008,182.9044854
438,-195.3421478,-76.89091492,395.5499878,182.7199744
439,-195.2126312,-65.57428741,442.0916748,182.528294
440,-194.4518433,-54.47909164,488.6333313,182.3431644
441,-193.0817566,-43.63965988,535.1749878,182.1790122
442,-191.1259613,-33.08862305,581.7166138,182.0474152
443,-188.6099701,-22.85686111,628.2583008,181.9538307
444,-185.7786407,-10.63522625,674.7999878,181.8983869
445,-185.5408173,-12.79085827,674.7999878,181.896426
446,-185.5211945,-12.9691658,674.7999878,181.8962608
447,-185.0375977,-17.35275841,674.7999878,181.8920579
448,-164.3426361,92.4837265,681.5613403,181.9163885
449,-162.1935577,96.44317627,681.59729,181.9147378
450,-166.3963165,88.47194672,681.5253296,181.9178419
451,-168.3533325,84.4101944,681.4892578,181.9190912
452,-170.2124329,80.30078125,681.453125,181.9201393
453,-171.9724579,76.14603424,681.4169312,181.9209808
454,-173.6321259,71.948349,681.3806763,181.9216171
455,-175.190506,67.7101059,681.3443604,181.9220439
456,-176.6464539,63.43379593,681.3080444,181.9222597
457,-177.9991608,59.12190628,681.2716064,181.9222631
458,-179.2474213,54.77690887,681.2351685,181.9220494
459,-180.3906708,50.40130234,681.1986084,181.9216189
460,-181.4279633,45.99771118,681.1619873,181.9209644
461,-182.3586578,41.56863785,681.1253052,181.9200871
462,-183.1819153,37.11670685,681.088623,181.918978
463,-183.8973541,32.64448166,681.0517578,181.917639
464,-184.504303,28.15467262,681.0148926,181.9160597
465,-185.0023956,23.64987183,680.9778442,181.9142418
466,-185.3911743,19.1327343,680.9406128,181.9121745
467,-185.6701508,14.60593987,680.9033813,181.9098579
468,-185.839325,10.07217216,680.8658447,181.9072819
469,-185.895813,5.534172535,680.8280029,181.9044511
470,-185.8392792,0.9961431623,680.8659668,181.9012646
471,-185.6701965,-3.537594795,680.9034424,181.8978119
472,-185.3911285,-8.064388275,680.9407349,181.8940777
473,-189.1937866,-138.1691132,116.2999954,183.4667238
474,-181.8891907,-147.3400421,116.3000336,183.4986349
475,-181.7975464,-147.4493103,77.53334808,183.519778
476,-159.950531,100.348114,681.6331177,181.9128845
477,-173.9453735,-156.3469543,38.76664352,183.5632669
478,-157.6149445,104.196312,681.6688843,181.9108354
479,-155.188324,107.9856186,681.7045288,181.9085843
