point_index,u,v,x,y,z,source_geodesic_distance
42194,0.7303569902,0.5423405655,239.7423086,458.6357742,109.0809213,470.752975
42195,0.7307419161,0.5410605244,248.331292,462.6314879,111.2588262,470.5156796
42196,0.7310225797,0.5411212456,241.6471306,459.5240277,113.3907915,470.6453461
42197,0.7313626157,0.5402920227,245.3071338,461.2273501,115.4797233,470.5275431
42198,0.7316283204,0.5404042763,238.2659054,457.9537812,117.5280297,470.6669756
42199,0.7320095583,0.5388679938,250.2696834,463.5375362,119.5381323,470.3501937
42200,0.7322627442,0.5390151289,243.0370142,460.1748921,121.5119151,470.4952888
42201,0.7325818806,0.5381984293,246.9727567,462.0063716,123.4514173,470.3730203
42202,0.7328228068,0.538390765,239.408811,458.4896225,125.3582599,470.5270227
42203,0.7225203121,0.5552435803,236.2872271,456.9944961,57.47924924,471.5778426
42204,0.7278298225,0.5467112061,236.1247941,456.9110145,92.23650912,471.0837174
42205,0.7314529786,0.5408385546,236.4970204,457.102264,116.1668746,470.730561
42206,0.7357606077,0.5320022615,273.7266394,472.3426957,126.0198934,469.8102594
42207,0.7315577838,0.5388298544,271.4698183,471.6836506,101.4313922,470.18014
42208,0.7337379072,0.5353469603,273.9460635,472.3970782,110.7082588,470.0174601
42209,0.731605494,0.5388136634,272.8575247,472.0787795,98.08207659,470.2063923
42210,0.7354333848,0.5326630566,276.4213295,473.1082947,116.4590673,469.903229
42211,0.7295457939,0.542180454,272.2125979,471.8870219,84.80358161,470.3979698
42212,0.7342213542,0.5346582617,276.3532014,473.0840729,107.8158581,470.022924
42213,0.7313908288,0.5392415191,274.500008,472.5453713,92.14373081,470.2645813
42214,0.7370496503,0.5301308031,279.3642851,473.952299,120.387268,469.8073758
42215,0.7270360802,0.546297789,271.7588983,471.7478928,67.73916814,470.6388294
42216,0.7331769828,0.5364077458,276.9670217,473.2546008,98.57673021,470.1410969
42217,0.7296610813,0.5420928722,274.4894031,472.5354561,79.57783267,470.4373406
42218,0.7365806701,0.530945556,280.2872133,474.2130927,114.5140876,469.8749129
