sample_index,source_index,u,v,x,y,z
466,590,0.4511199817,-0.100882272,650.5934448,345.2674866,1012.426208
467,591,0.4504746176,-0.1023509495,651.0475464,346.6763,1018.587036
468,592,0.4508220611,-0.1059218197,648.1720581,346.7175903,1011.332947
469,593,0.4524431461,-0.1136592503,648.5558472,348.0545044,1017.55658
470,595,0.4474441836,-0.1107582043,645.942627,349.2683716,1016.64563
471,596,0.4505843258,-0.1179612217,642.9832153,349.1559143,1009.4823
472,597,0.4546214308,-0.06861319559,661.819519,340.2043762,1034.821289
473,599,0.4662438607,-0.01904972684,657.397583,309.0238647,1004.513123
474,600,0.468633382,-0.01838092316,661.0394287,314.782074,1014.130005
475,601,0.4652325623,-0.02289428727,661.2427979,317.1996155,1012.326477
476,602,0.4640644751,-0.03422699481,661.1505737,319.6271057,1010.515869
477,603,0.4652489773,-0.03748932823,660.7695312,322.0409851,1008.715637
478,604,0.4683842307,-0.01207849972,652.8536377,303.1484985,994.9477539
479,605,0.4657093195,-0.008259094445,656.838562,306.6365967,1006.270447
480,606,0.4672069093,-0.004439684697,659.9962769,309.9853821,1017.702576
481,607,0.4656784778,-0.01242094659,665.3968506,323.6564331,1035.636108
482,608,0.4599360638,-0.04816888572,661.9837036,330.0339355,1016.729492
483,609,0.4596020828,-0.03921438076,662.8847046,327.7002258,1018.47229
484,610,0.4599450335,-0.03808954542,663.510498,325.3093567,1020.256653
485,611,0.4603587952,-0.02960594264,663.8294067,322.8824768,1022.067383
486,612,0.4618411516,-0.0205356774,663.8104858,320.4482727,1023.884033
487,613,0.4626693823,-0.01246927044,663.4537964,318.0378113,1025.683594
488,614,0.4640862599,-0.002955200651,662.2340698,313.2504272,1029.250732
489,615,0.4658046953,0.02705909619,658.9139404,303.8016968,1036.280151
490,616,0.465767746,0.02384074465,660.1935425,307.018158,1047.911499
491,617,0.4719571812,0.008655704643,645.3812256,290.1631165,990.2785645
492,618,0.4754240904,0.05755670258,639.6553955,271.4510193,1003.218811
493,619,0.4748212512,0.000264355908,649.8592529,293.7874756,1001.67804
494,620,0.4745149232,0.06614535563,647.3119507,278.4930725,1026.988892
495,621,0.4723253106,0.01060630075,653.6630859,297.2499084,1013.178345
496,622,0.4691076015,0.0222998629,656.7092285,300.5670471,1024.708618
497,623,0.4792801838,0.03917446261,629.9526367,263.8117676,979.354187
498,624,0.4662817972,-0.05058234107,652.1422119,317.5368958,984.6081543
499,625,0.4621131383,-0.0564995308,652.5281982,323.9088135,986.7467041
500,626,0.4641595271,-0.06313770681,653.3502197,327.85672,990.6325073
501,627,0.4567982546,-0.06525364139,655.1878052,329.5501404,996.211792
502,628,0.4634941193,-0.06349072306,656.8258057,331.2138367,1001.867249
503,629,0.4626090057,-0.05631147835,658.2539062,332.8535156,1007.599426
504,630,0.4568125579,-0.05708082839,662.6124268,335.5274353,1026.861816
505,632,0.4122320749,0.178378912,557.6591797,169.4203339,890.8833618
506,633,0.4028325028,0.2044400188,552.0669556,161.2800446,892.2304688
507,634,0.397972824,0.2181273421,563.0506592,163.1652832,927.5361938
508,635,0.3842281881,0.2314597835,556.5710449,155.2242126,929.7109375
509,636,0.3826725775,0.207366044,545.9780884,153.4961395,893.5184937
510,637,0.3800070412,0.2264538237,544.1384888,146.5982666,913.1167603
511,638,0.3617991031,0.2311622244,539.4156494,146.098175,894.7421875
512,639,0.3794387699,0.2299199906,549.2532959,147.7215881,931.7800293
513,640,0.3643318105,0.2501142469,535.3202515,136.6174927,944.347229
514,641,0.3779593926,0.2495861897,543.7489014,141.9332428,943.0631104
515,642,0.361174977,0.2486466363,533.1031494,135.4512329,934.8101807
516,643,0.3590728879,0.2494320223,541.3152466,141.0243073,933.5541992
517,644,0.3471387395,0.2526539244,530.9470825,134.4686737,925.2738647
518,645,0.323577093,0.2849132324,510.6384277,127.6923294,955.4110107
519,646,0.3211505057,0.2724637726,517.9882812,128.6802673,945.6547241
520,647,0.3212009226,0.2863628788,508.8576965,125.2273712,946.1557617
521,648,0.3188467501,0.2764649493,516.086731,126.7489929,936.2721558
522,649,0.3754760806,0.2495214138,546.2376099,143.0234833,952.5497437
523,650,0.3708815294,0.2596219989,544.3395386,141.7121277,962.7497559
524,651,0.3659794937,0.2694779386,542.2166748,141.2292633,972.6695557
525,652,0.4199916146,0.2407793207,574.1771851,162.3647919,984.0390625
526,653,0.40243007,0.2525978434,568.2307739,159.4021912,966.1773682
527,654,0.3917554046,0.2513261232,560.1986694,151.9737091,969.0576782
528,655,0.3826515947,0.2340678071,554.6450195,149.5121307,950.4993896
529,656,0.3842308926,0.2473499578,550.4904175,146.0838013,951.6173096
530,657,0.4126293279,0.1882894292,568.7158203,171.4192352,925.2783203
531,658,0.413629247,0.2266495759,575.0449829,167.4187012,963.0515137
532,659,0.4254627041,0.201170382,580.6793823,175.7941742,959.7619019
533,660,0.4349781098,0.2494914223,587.2069092,173.7409058,997.4744873
534,661,0.4022445025,0.2537594121,565.7996826,155.0635223,987.2665405
535,662,0.3964129375,0.2648031961,561.1964722,151.8544312,988.6499023
536,663,0.3951149812,0.2683125778,556.4725952,149.1490631,989.7397461
537,664,0.3698678577,0.2666995445,546.7798462,143.2814026,972.1246948
538,665,0.3757835891,0.2702452502,549.234314,145.0254517,981.3939819
539,666,0.3927680368,0.2714495778,551.6901245,146.9348907,990.5357666
540,667,0.3875093072,0.2743482682,554.1343994,148.9971771,999.5314331
541,669,0.3977743661,0.2812077118,556.5543213,151.1972198,1008.365234
542,671,0.3832136193,0.2894997233,551.5326538,149.7566223,1008.831604
543,672,0.3829710551,0.2826195763,549.2268677,147.4036255,1000.023315
544,673,0.3794708216,0.2815211431,546.897583,145.1882477,991.0491333
545,674,0.3740881754,0.2726848142,544.5568237,143.1258545,981.9249268
546,675,0.3552314029,0.2846122995,537.3945923,142.9030609,991.3488159
547,676,0.3486140556,0.2816133343,535.2618408,140.4659882,982.3207397
548,677,0.4462624255,0.2535892615,598.6966553,181.1921539,1030.07019
549,678,0.4413869359,0.2617670808,595.1588745,177.2260437,1032.47168
550,679,0.4321833793,0.2507294533,583.833313,169.6865387,999.5179443
551,680,0.4279826117,0.2612756715,580.0507202,165.7957153,1001.465454
552,681,0.4228159773,0.2585991884,575.8726807,162.1169281,1003.292419
553,682,0.4364717148,0.2840530408,586.6376953,170.099411,1036.734375
554,683,0.4128399087,0.2618703104,571.3337402,158.6917114,1004.978333
555,684,0.4109618629,0.2918601841,561.2698364,155.9416962,1025.498657
556,687,0.3529112547,0.2752210364,535.442627,137.6609039,963.6641235
557,688,0.3543830879,0.2780719103,537.6665649,139.562912,972.9945679
558,689,0.3599476024,0.2822421047,539.9003296,141.6396332,982.2127686
559,690,0.3654869427,0.2906736214,542.1327515,143.8805084,991.2971191
560,691,0.3678736694,0.2924546297,544.3526001,146.2720642,1000.229065
561,692,0.3693264119,0.296146988,546.548645,148.7982941,1008.99292
562,693,0.3977594255,0.2968213282,553.8027954,152.2297821,1017.461487
563,694,0.382944381,0.3076840647,545.6766968,153.9407196,1025.785889
564,695,0.3769234074,0.3145407174,549.5231934,159.9573364,1041.852173
565,696,0.3829836924,0.3137727644,554.8708496,159.8695984,1042.153076
566,697,0.3865681446,0.3084008545,552.8820801,156.9967957,1034.164062
567,698,0.3920267916,0.3043091509,560.2792358,160.1789703,1042.186401
568,699,0.3952134078,0.299522894,558.1881714,157.4603271,1034.146851
569,700,0.3503516527,0.2753466363,533.125061,138.1901093,973.1569214
570,701,0.3369638794,0.2891999557,512.4306641,130.3454742,964.5922852
571,702,0.3476850378,0.2811009674,530.9945068,136.0866852,963.8787842
572,703,0.3032358622,0.2897713325,507.0962219,122.9552994,936.8538818
573,704,0.282979013,0.2887612566,497.8124695,119.5397415,937.3395996
574,705,0.2849848519,0.3007719204,489.7762756,119.3825531,946.8787231
575,706,0.2809164735,0.3039507713,492.8052673,125.6768341,964.9922485
576,707,0.2724198491,0.3116074546,491.2893677,122.432045,955.9750977
577,708,0.3150325743,0.2671569365,512.4011841,123.4501801,917.5001831
578,709,0.113994398,0.3141091124,385.994812,93.89785004,921.690918
579,710,0.2023836387,0.2897070282,463.5895996,100.9000397,902.2429199
580,711,0.2015590858,0.3022661691,446.279541,101.847374,920.7156372
581,712,0.1714897748,0.3117467919,428.002533,105.5737228,938.7828369
582,713,0.3641427968,0.2900650394,541.6061401,148.2009125,1008.928223
583,714,0.3595471894,0.2988159449,539.5128174,145.4870605,1000.223022
584,715,0.3319812326,0.3033848911,519.5599976,142.6326599,1000.109314
585,716,0.3350443645,0.296635944,517.7990112,139.338974,991.4510498
586,717,0.3151899487,0.3105426563,497.3110657,136.4576416,991.3339233
587,718,0.3093172695,0.3134043494,495.8220215,132.7057037,982.6924438
588,719,0.2571170769,0.3152635159,476.1557617,134.515274,991.0175781
589,720,0.2391102306,0.3198050502,473.6523132,126.2429428,973.8690186
590,721,0.1773810987,0.3356524226,431.348053,122.4909744,973.5750122
591,722,0.2062644401,0.3325338174,429.6828003,113.611351,956.3331299
592,723,0.1039832144,0.3484627556,387.6614685,110.4533463,956.3314209
593,724,0.2190005001,0.341360055,432.9763489,132.0672302,990.3203125
594,725,0.2688448678,0.3264720171,478.580719,143.2936249,1007.524048
595,726,0.2975993729,0.3361847719,480.8905334,152.3533783,1023.304688
596,727,0.3241612317,0.3219293791,500.2213745,144.3305054,1008.120056
597,728,0.3435982113,0.3246209198,503.0022278,152.5227203,1024.175781
598,729,0.3345618855,0.3053996493,521.2938843,146.0420532,1008.594788
599,730,-0.002183284226,0.3637238195,345.3373108,124.5386429,981.5615845
600,731,-0.002174349349,0.3965489925,345.3323669,141.0155334,1005.470154
601,732,0.3098689776,0.3470980341,483.0486145,161.4427795,1038.31958
602,733,0.3483040438,0.326139684,527.8045044,160.3602295,1040.637939
603,734,0.3631185173,0.3130674155,524.6495972,153.1148682,1025.008911
604,735,0.4756267993,0.08501132084,613.982605,237.3052521,964.8903809
605,736,0.472524601,0.1102480665,624.5193481,245.0049744,990.8651733
606,737,0.4799305865,0.2191319105,634.824646,240.9627533,1054.625366
607,738,0.4767401073,0.2386530963,628.68573,222.1674042,1068.458374
608,739,0.4666706336,0.260874237,614.3809814,197.0391998,1054.711182
609,740,0.4707287094,0.2319653295,617.9163208,206.2189026,1048.349854
610,741,0.4691494183,0.2209611885,608.1658325,198.7004547,1019.320435
611,742,0.4700806991,0.1918637954,611.7391357,207.8367615,1013.690308
612,743,0.4636321878,0.1833759379,601.0010376,200.0894165,983.9641724
613,744,0.4648662684,0.1386040883,608.0470581,218.512207,974.5006714
614,745,0.4504527789,0.1248683936,596.9124146,211.8066711,945.4359131
615,746,0.4664108958,0.05718858697,602.6238403,230.7176666,937.9380493
616,747,0.4493894821,0.0939375804,590.9651489,226.1401062,910.0813599
617,748,0.428260479,0.1488793726,567.2647095,186.6448669,888.0333252
618,749,0.4300546573,0.1709538876,578.1351929,188.8171844,920.4628906
619,750,0.4388445982,0.2169018396,585.3543701,184.4999542,956.3059082
620,751,0.4474344468,0.2215548593,592.7855835,182.2042084,993.1657715
621,752,0.4555903875,0.2548232257,601.7314453,185.3583527,1027.529907
